slice,template_id,entry_id,stop_id,r_target,cancel_variant,n_events,n_triggered,trigger_rate_pct,n_gap_fill_triggered,gap_fill_rate_pct,n_cancelled,n_valid_triggered,n_win,n_loss_total,n_both_hit,n_time_exit,win_rate_pct,loss_rate_pct,time_exit_rate_pct,mean_pnl_r,median_pnl_r,expectancy_r,mean_mae_proxy_r,mean_mfe_proxy_r,pct_mfe_above_2r
gap_directional_trap__gap_up_cl_low_020__bearish__medium,E_close_band__S_prior_low__T_1_5r,E_close_band,S_prior_low,1.5,no_cancel,6320,5573,88.18,2816,50.53,0,5573,1013,3750,2343,810,18.18,67.29,14.53,-0.366,-1.0,-0.366,-3.023,3.539,51.52
gap_directional_trap__gap_up_cl_low_020__bearish__medium,E_close_band__S_prior_low__T_1_5r,E_close_band,S_prior_low,1.5,cancel_gap_exceed,6320,5015,79.35,2258,45.02,558,5015,941,3604,2331,470,18.76,71.86,9.37,-0.412,-1.0,-0.412,-3.273,3.838,56.37
gap_directional_trap__gap_up_cl_low_020__bearish__medium,E_close_band__S_prior_low__T_2_0r,E_close_band,S_prior_low,2.0,no_cancel,6320,5573,88.18,2816,50.53,0,5573,814,3750,2057,1009,14.61,67.29,18.11,-0.311,-1.0,-0.311,-3.023,3.539,51.52
gap_directional_trap__gap_up_cl_low_020__bearish__medium,E_close_band__S_prior_low__T_2_0r,E_close_band,S_prior_low,2.0,cancel_gap_exceed,6320,5015,79.35,2258,45.02,558,5015,777,3604,2050,634,15.49,71.86,12.64,-0.351,-1.0,-0.351,-3.273,3.838,56.37
gap_directional_trap__gap_up_cl_low_020__bearish__medium,E_close_band__S_prior_low__T_3_0r,E_close_band,S_prior_low,3.0,no_cancel,6320,5573,88.18,2816,50.53,0,5573,568,3750,1588,1255,10.19,67.29,22.52,-0.228,-1.0,-0.228,-3.023,3.539,51.52
gap_directional_trap__gap_up_cl_low_020__bearish__medium,E_close_band__S_prior_low__T_3_0r,E_close_band,S_prior_low,3.0,cancel_gap_exceed,6320,5015,79.35,2258,45.02,558,5015,559,3604,1587,852,11.15,71.86,16.99,-0.259,-1.0,-0.259,-3.273,3.838,56.37
gap_directional_trap__gap_up_cl_low_020__bearish__medium,E_close_band__S_prior_low_buffer__T_1_5r,E_close_band,S_prior_low_buffer,1.5,no_cancel,6320,5573,88.18,2816,50.53,0,5573,1172,3089,1378,1312,21.03,55.43,23.54,-0.182,-1.0,-0.182,-1.643,1.981,35.4
gap_directional_trap__gap_up_cl_low_020__bearish__medium,E_close_band__S_prior_low_buffer__T_1_5r,E_close_band,S_prior_low_buffer,1.5,cancel_gap_exceed,6320,5015,79.35,2258,45.02,558,5015,1119,2973,1372,923,22.31,59.28,18.4,-0.208,-1.0,-0.208,-1.75,2.118,38.72
gap_directional_trap__gap_up_cl_low_020__bearish__medium,E_close_band__S_prior_low_buffer__T_2_0r,E_close_band,S_prior_low_buffer,2.0,no_cancel,6320,5573,88.18,2816,50.53,0,5573,884,3089,1089,1600,15.86,55.43,28.71,-0.13,-1.0,-0.13,-1.643,1.981,35.4
gap_directional_trap__gap_up_cl_low_020__bearish__medium,E_close_band__S_prior_low_buffer__T_2_0r,E_close_band,S_prior_low_buffer,2.0,cancel_gap_exceed,6320,5015,79.35,2258,45.02,558,5015,856,2973,1086,1186,17.07,59.28,23.65,-0.15,-1.0,-0.15,-1.75,2.118,38.72
gap_directional_trap__gap_up_cl_low_020__bearish__medium,E_close_band__S_prior_low_buffer__T_3_0r,E_close_band,S_prior_low_buffer,3.0,no_cancel,6320,5573,88.18,2816,50.53,0,5573,479,3089,699,2005,8.6,55.43,35.98,-0.069,-1.0,-0.069,-1.643,1.981,35.4
gap_directional_trap__gap_up_cl_low_020__bearish__medium,E_close_band__S_prior_low_buffer__T_3_0r,E_close_band,S_prior_low_buffer,3.0,cancel_gap_exceed,6320,5015,79.35,2258,45.02,558,5015,475,2973,698,1567,9.47,59.28,31.25,-0.081,-1.0,-0.081,-1.75,2.118,38.72
gap_directional_trap__gap_up_cl_low_020__bearish__medium,E_prior_high__S_prior_low__T_1_5r,E_prior_high,S_prior_low,1.5,no_cancel,6320,1481,23.43,120,8.1,0,1481,24,634,16,823,1.62,42.81,55.57,-0.37,-0.353,-0.37,-0.972,0.412,0.74
gap_directional_trap__gap_up_cl_low_020__bearish__medium,E_prior_high__S_prior_low__T_1_5r,E_prior_high,S_prior_low,1.5,cancel_gap_exceed,6320,1449,22.93,88,6.07,32,1449,24,628,16,797,1.66,43.34,55.0,-0.376,-0.368,-0.376,-0.981,0.412,0.76
gap_directional_trap__gap_up_cl_low_020__bearish__medium,E_prior_high__S_prior_low__T_2_0r,E_prior_high,S_prior_low,2.0,no_cancel,6320,1481,23.43,120,8.1,0,1481,7,634,4,840,0.47,42.81,56.72,-0.371,-0.353,-0.371,-0.972,0.412,0.74
gap_directional_trap__gap_up_cl_low_020__bearish__medium,E_prior_high__S_prior_low__T_2_0r,E_prior_high,S_prior_low,2.0,cancel_gap_exceed,6320,1449,22.93,88,6.07,32,1449,7,628,4,814,0.48,43.34,56.18,-0.376,-0.368,-0.376,-0.981,0.412,0.76
gap_directional_trap__gap_up_cl_low_020__bearish__medium,E_prior_high__S_prior_low__T_3_0r,E_prior_high,S_prior_low,3.0,no_cancel,6320,1481,23.43,120,8.1,0,1481,0,634,1,847,0.0,42.81,57.19,-0.372,-0.353,-0.372,-0.972,0.412,0.74
gap_directional_trap__gap_up_cl_low_020__bearish__medium,E_prior_high__S_prior_low__T_3_0r,E_prior_high,S_prior_low,3.0,cancel_gap_exceed,6320,1449,22.93,88,6.07,32,1449,0,628,1,821,0.0,43.34,56.66,-0.378,-0.368,-0.378,-0.981,0.412,0.76
gap_directional_trap__gap_up_cl_low_020__bearish__medium,E_prior_high__S_prior_low_buffer__T_1_5r,E_prior_high,S_prior_low_buffer,1.5,no_cancel,6320,1481,23.43,120,8.1,0,1481,19,453,8,1009,1.28,30.59,68.13,-0.251,-0.135,-0.251,-0.87,0.367,0.27
gap_directional_trap__gap_up_cl_low_020__bearish__medium,E_prior_high__S_prior_low_buffer__T_1_5r,E_prior_high,S_prior_low_buffer,1.5,cancel_gap_exceed,6320,1449,22.93,88,6.07,32,1449,19,448,8,982,1.31,30.92,67.77,-0.253,-0.135,-0.253,-0.878,0.367,0.28
gap_directional_trap__gap_up_cl_low_020__bearish__medium,E_prior_high__S_prior_low_buffer__T_2_0r,E_prior_high,S_prior_low_buffer,2.0,no_cancel,6320,1481,23.43,120,8.1,0,1481,3,453,1,1025,0.2,30.59,69.21,-0.252,-0.135,-0.252,-0.87,0.367,0.27
gap_directional_trap__gap_up_cl_low_020__bearish__medium,E_prior_high__S_prior_low_buffer__T_2_0r,E_prior_high,S_prior_low_buffer,2.0,cancel_gap_exceed,6320,1449,22.93,88,6.07,32,1449,3,448,1,998,0.21,30.92,68.88,-0.255,-0.135,-0.255,-0.878,0.367,0.28
gap_directional_trap__gap_up_cl_low_020__bearish__medium,E_prior_high__S_prior_low_buffer__T_3_0r,E_prior_high,S_prior_low_buffer,3.0,no_cancel,6320,1481,23.43,120,8.1,0,1481,0,453,1,1028,0.0,30.59,69.41,-0.253,-0.135,-0.253,-0.87,0.367,0.27
gap_directional_trap__gap_up_cl_low_020__bearish__medium,E_prior_high__S_prior_low_buffer__T_3_0r,E_prior_high,S_prior_low_buffer,3.0,cancel_gap_exceed,6320,1449,22.93,88,6.07,32,1449,0,448,1,1001,0.0,30.92,69.08,-0.256,-0.135,-0.256,-0.878,0.367,0.28
gap_directional_trap__gap_up_cl_low_020__bearish__medium_plus_large,E_close_band__S_prior_low__T_1_5r,E_close_band,S_prior_low,1.5,no_cancel,9865,8772,88.92,4265,48.62,0,8772,1747,5924,3808,1101,19.92,67.53,12.55,-0.345,-1.0,-0.345,-2.96,3.861,55.22
gap_directional_trap__gap_up_cl_low_020__bearish__medium_plus_large,E_close_band__S_prior_low__T_1_5r,E_close_band,S_prior_low,1.5,cancel_gap_exceed,9865,7807,79.14,3300,42.27,965,7807,1586,5639,3789,582,20.32,72.23,7.45,-0.396,-1.0,-0.396,-3.22,4.222,60.79
gap_directional_trap__gap_up_cl_low_020__bearish__medium_plus_large,E_close_band__S_prior_low__T_2_0r,E_close_band,S_prior_low,2.0,no_cancel,9865,8772,88.92,4265,48.62,0,8772,1444,5924,3400,1404,16.46,67.53,16.01,-0.28,-1.0,-0.28,-2.96,3.861,55.22
gap_directional_trap__gap_up_cl_low_020__bearish__medium_plus_large,E_close_band__S_prior_low__T_2_0r,E_close_band,S_prior_low,2.0,cancel_gap_exceed,9865,7807,79.14,3300,42.27,965,7807,1359,5639,3387,809,17.41,72.23,10.36,-0.323,-1.0,-0.323,-3.22,4.222,60.79
gap_directional_trap__gap_up_cl_low_020__bearish__medium_plus_large,E_close_band__S_prior_low__T_3_0r,E_close_band,S_prior_low,3.0,no_cancel,9865,8772,88.92,4265,48.62,0,8772,1041,5924,2700,1807,11.87,67.53,20.6,-0.179,-1.0,-0.179,-2.96,3.861,55.22
gap_directional_trap__gap_up_cl_low_020__bearish__medium_plus_large,E_close_band__S_prior_low__T_3_0r,E_close_band,S_prior_low,3.0,cancel_gap_exceed,9865,7807,79.14,3300,42.27,965,7807,1005,5639,2696,1163,12.87,72.23,14.9,-0.213,-1.0,-0.213,-3.22,4.222,60.79
